RefSeq. ID	UniProt SwissProt	Protein Name C1	C2	C3	C4	C5	C6	H1	H2	H3	H4	H5	H6	c1	c2	c3	h1	h2	h3
NP_000005	P01023	Alpha-2-macroglobulin precursor	8.57345	8.45938	8.68941	8.35913	8.48177	8.44560	8.40986	8.59392	8.46562	8.07999	8.22759	8.41817	0.23879	1.07039	-0.05889	-1.43440	-0.41504	-0.07400
NP_000010	P24752	Acetyl-CoA acetyltransferase, mitochondrial precursor	8.32595	8.19273	8.10708	8.48156	7.99014	8.24859	8.78216	8.59592	8.48299	8.52647	8.34797	8.38534	-0.34008	-0.51457	-0.32193	0.66903	0.63227	-0.51457
NP_000021	P21549	Serine--pyruvate aminotransferase	9.67506	9.04974	8.92981	9.06493	8.82446	9.03599	12.32025	11.75572	11.95762	11.68414	11.65075	11.20710	-0.37707	-0.73697	-1.08927	1.20789	1.16350	0.26303
NP_000022	P13716	Delta-aminolevulinic acid dehydratase	11.09760	10.80125	10.66057	11.23546	10.09737	10.30093	11.04721	10.86523	10.63732	11.34262	10.49742	10.50185	0.64155	0.42223	0.13750	-0.81097	1.00720	0.08406
NP_000026	P05062	Fructose-bisphosphate aldolase B	10.57306	10.99905	10.54975	10.45671	10.62592	10.79291	10.85699	10.94786	11.10738	11.00509	10.97134	10.94412	0.20163	-0.04394	-0.13606	-0.25154	0.67807	-0.04394
NP_000033	P02749	Beta-2-glycoprotein 1 precursor	12.13166	12.07540	11.91710	12.32066	12.05581	11.76052	11.99804	12.25912	12.22859	12.09628	12.15632	12.10343	0.57531	0.18903	-0.15200	0.35614	0.05658	0.26303
NP_000036	P05089	Arginase-1	9.06563	8.95367	9.10410	8.15853	8.06645	8.49927	8.71820	8.45173	8.76653	8.88498	8.44688	8.41176	1.53605	0.00000	-0.30401	0.22651	0.40054	0.29866
NP_000087	P00450	Ceruloplasmin precursor	11.24293	11.75048	12.53552	11.99678	11.42954	11.89063	11.76635	11.82297	11.54380	10.95629	11.36352	10.04664	0.94860	0.05658	0.08406	-0.94342	-1.83650	-0.64386
NP_000099	P09622	Dihydrolipoyl dehydrogenase, mitochondrial precursor	8.54241	8.56871	8.12008	8.68899	8.35577	8.39725	9.02559	8.90076	8.40280	8.51864	8.61009	8.64504	0.68706	-0.18442	-0.12029	0.29866	0.08406	-0.41504
NP_000117	P13804	Electron transfer flavoprotein subunit alpha, mitochondrial precursor	13.10088	12.78939	12.56459	12.92866	12.12235	12.90591	12.49962	12.24519	12.33116	12.66818	12.08133	12.20075	1.11103	1.18269	0.50589	0.81558	0.41143	1.63691
NP_000129	P35555	Fibrillin-1 precursor	8.78689	7.57044	7.40180	7.75589	7.40997	8.55383	7.89216	8.37853	8.18392	7.59134	8.04661	7.65234	0.87971	-0.66658	-0.49411	0.54597	0.31034	0.38957
NP_000173	P40939	Trifunctional enzyme subunit alpha, mitochondrial precursor	12.52008	11.46958	11.10314	11.14473	11.03103	10.99288	11.68727	11.56046	11.70422	12.10067	11.76178	11.47382	-0.26882	-0.26882	1.16993	1.22651	0.97085	1.02148
NP_000182	P35914	Hydroxymethylglutaryl-CoA lyase, mitochondrial precursor	11.92279	12.17820	11.60258	11.68697	11.11390	11.90276	12.22861	12.11636	12.24223	12.33671	12.36716	12.16431	0.62293	-0.94342	0.42223	0.78241	0.52607	-0.13606
